timestamp,controller_mode,load_pattern,trial_num,elapsed_sec,queue_length,cpu_util,container_mem_pct,io_write_ops,indexing_time_rate,os_cpu_percent,os_mem_used_percent,batch_size,poll_interval_ms,inv_poll_interval,messages_consumed,messages_indexed,cycle_duration_ms,avg_latency_ms,injection_rate,total_injected
2026-04-23T01:32:28.623298,pid,step,1,4.3,3700,82.09036705610288,72.8738784790039,46.11818373938364,38.73927434108225,36,78,267,1099,0.9099181073703366,267,401,31.958818435668945,763.623346633418,1000,4100
2026-04-23T01:32:29.696591,pid,step,1,5.4,0,8.401995178985183,72.9024887084961,49.47841605402385,54.146191153460066,6,78,536,140,7.142857142857143,111,536,177.85143852233887,911.0717537313387,1000,5100
2026-04-23T01:32:30.788928,pid,step,1,6.5,900,68.09233820367689,72.93338775634766,45.088169891623885,32.205835636874205,33,78,31,1099,0.9099181073703366,31,157,18.890857696533203,735.4979936305759,1000,6100
2026-04-23T01:32:31.853819,pid,step,1,7.6,1900,4.608999666822267,72.93338775634766,43.324596868129305,44.24639680149376,5,78,352,168,5.9523809523809526,352,360,33.555030822753906,1213.6008472222236,1000,7100
2026-04-23T01:32:32.946961,pid,step,1,8.6,2900,50.27411207174012,72.94197082519531,51.205114147142716,69.8251556551946,22,78,291,1099,0.9099181073703366,291,400,33.033132553100586,549.1963824999981,1000,8100
2026-04-23T01:32:34.026884,pid,step,1,9.7,3800,10.323731382258048,72.92652130126953,31.909715181524874,91.9750614055717,5,78,504,143,6.993006993006993,504,291,45.55797576904297,545.4192027491391,1000,9100
2026-04-23T01:32:35.116405,pid,step,1,10.8,500,96.87566232160596,72.92652130126953,70.37194338456283,69.45802204190616,44,78,3,1099,0.9099181073703366,3,153,20.310401916503906,632.9437450980392,1000,10100
2026-04-23T01:32:36.204346,pid,step,1,11.9,1500,30.010969530239063,72.94769287109375,46.38058927400582,32.739239487533524,15,78,322,166,6.024096385542169,322,3,20.13707160949707,728.1820000000001,1000,11100
2026-04-23T01:32:37.280185,pid,step,1,13.0,2878,56.005852482248386,72.90668487548828,136.80118065336083,83.54971435876399,23,77,310,1099,0.9099181073703366,310,408,36.73672676086426,441.77002941176323,1000,12100
2026-04-23T01:32:38.324879,pid,step,1,14.1,3400,94.90973141180325,72.94769287109375,34.167503308249174,10.440070455298358,50,77,310,1099,0.9099181073703366,310,408,36.73672676086426,441.77002941176323,1000,13000
2026-04-23T01:32:39.405582,pid,step,1,15.1,4400,16.953662181019077,72.94635772705078,41.44228533137996,48.97724630072178,8,77,520,142,7.042253521126761,158,480,467.1924114227295,947.0836187500024,1000,14000
2026-04-23T01:32:40.490153,pid,step,1,16.2,1000,48.97246437569932,72.94635772705078,104.41299008403817,56.3645344701445,26,77,113,1099,0.9099181073703366,113,288,21.179676055908203,933.4196597222181,1000,15000
2026-04-23T01:32:41.585894,pid,step,1,17.3,1900,5.512007196367122,72.94998168945312,38.584050374569856,0.0,8,77,113,1099,0.9099181073703366,113,288,21.179676055908203,933.4196597222181,1000,16000
2026-04-23T01:32:42.646574,pid,step,1,18.4,2900,39.19024270436412,72.94960021972656,71.84877829133423,86.77839455966341,21,77,392,161,6.211180124223603,392,392,167.21320152282715,904.6988673469339,1000,17000
2026-04-23T01:32:43.719443,pid,step,1,19.4,3900,35.33994750788857,73.0010986328125,43.709935075546376,55.799917117718785,19,77,533,127,7.874015748031496,533,401,30.379056930541992,716.6116109725705,1000,18000
2026-04-23T01:32:44.807633,pid,step,1,20.5,4800,13.834825345515716,72.97077178955078,33.20358082923772,35.048224208639816,7,77,453,1099,0.9099181073703366,453,64,509.1252326965332,858.5697968749992,1000,19000
2026-04-23T01:32:45.900389,pid,step,1,21.6,1440,24.782455928424557,72.97077178955078,0.0,69.75802409482468,7,77,323,173,5.780346820809249,317,275,438.7528896331787,783.3497672727245,1000,20000
2026-04-23T01:32:46.966560,pid,step,1,22.7,2840,67.26935208711633,73.00224304199219,89.38530345822306,80.17032372026193,37,77,263,1099,0.9099181073703366,263,341,337.56160736083984,741.6554310850416,1000,21000
2026-04-23T01:32:48.019194,pid,step,1,23.7,3840,22.871456670505715,72.9990005493164,41.93100389592715,79.09712098549893,13,77,475,148,6.756756756756757,442,433,396.36874198913574,980.5591316397202,1000,21900
2026-04-23T01:32:49.108630,pid,step,1,24.8,4840,20.445182022004875,73.00186157226562,39.96103758846407,52.971607966103534,10,77,510,220,4.545454545454546,507,493,492.42210388183594,1010.6488438133831,1000,22900
2026-04-23T01:32:50.195000,pid,step,1,25.9,400,40.0367950775329,73.00186157226562,45.62332462323516,57.72747197225674,26,78,108,1099,0.9099181073703366,108,151,18.97263526916504,668.9671059602625,1000,23900
2026-04-23T01:32:51.266563,pid,step,1,27.0,1400,59.26199266805278,73.01521301269531,39.20408745732722,9.117229641238888,32,78,108,1099,0.9099181073703366,108,151,18.97263526916504,668.9671059602625,1000,24900
2026-04-23T01:32:52.351645,pid,step,1,28.0,2400,49.70417869687192,73.0173110961914,86.27895170023051,103.15961616331907,23,78,400,159,6.289308176100629,400,352,28.983116149902344,734.7726363636308,1000,25900
2026-04-23T01:32:53.439434,pid,step,1,29.1,3300,11.981755966271919,73.0173110961914,29.493553147746262,11.981755966271919,10,77,506,105,9.523809523809524,506,202,53.313255310058594,519.1111881188126,1000,26900
2026-04-23T01:32:54.525344,pid,step,1,30.2,4300,21.980469335126767,73.03237915039062,43.04508578128992,54.95117333781692,10,78,512,143,6.993006993006993,275,465,384.2966556549072,675.8550903225781,0,27700
2026-04-23T01:32:55.596669,pid,step,1,31.3,0,11.150590742632057,73.03447723388672,63.186680874914984,35.310204018334844,6,78,553,204,4.901960784313726,293,493,537.5728607177734,823.8043671399629,0,27700
