C:\Users\DELL\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0\LocalCache\local-packages\Python39\site-packages\requests\__init__.py:89: RequestsDependencyWarning: urllib3 (2.6.3) or chardet (3.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
2026-02-16 22:21:53,362 - sysid-experiment - INFO -   Sample 30: queue=72300, cpu=0.0%, mem=19.5%, io=0
2026-02-16 22:22:03,928 - sysid-experiment - INFO -   Sample 40: queue=73950, cpu=8.0%, mem=19.3%, io=459373
2026-02-16 22:22:14,428 - sysid-experiment - INFO -   Sample 50: queue=75450, cpu=4.2%, mem=19.3%, io=282025
2026-02-16 22:22:23,827 - sysid-experiment - INFO -   Collected 58 samples
2026-02-16 22:22:23,828 - sysid-experiment - INFO -   Settling for 10s...
2026-02-16 22:22:34,390 - sysid-experiment - INFO - Step 10/400: batch_size=10, poll_interval=500ms
2026-02-16 22:22:43,815 - sysid-experiment - INFO -   Sample 10: queue=79800, cpu=0.0%, mem=19.3%, io=0
2026-02-16 22:22:54,276 - sysid-experiment - INFO -   Sample 20: queue=81450, cpu=5.1%, mem=19.3%, io=394245
2026-02-16 22:23:04,773 - sysid-experiment - INFO -   Sample 30: queue=83100, cpu=0.0%, mem=19.3%, io=0
2026-02-16 22:23:15,262 - sysid-experiment - INFO -   Sample 40: queue=84451, cpu=0.0%, mem=19.3%, io=0
2026-02-16 22:23:25,832 - sysid-experiment - INFO -   Sample 50: queue=86100, cpu=4.4%, mem=19.3%, io=284103
2026-02-16 22:23:35,211 - sysid-experiment - INFO -   Collected 58 samples
2026-02-16 22:23:35,211 - sysid-experiment - INFO -   Settling for 10s...
2026-02-16 22:23:45,725 - sysid-experiment - INFO - Step 11/400: batch_size=10, poll_interval=550ms
2026-02-16 22:23:55,238 - sysid-experiment - INFO -   Sample 10: queue=90600, cpu=4.8%, mem=19.4%, io=356637
