timestamp,phase,queue_length,cpu_util,mem_util,avg_latency_ms,io_write_ops,os_cpu_percent,os_mem_used_percent,gc_time_rate,write_queue_size,container_mem_pct,batch_size,poll_interval,queue_exhausted
2026-04-20T11:48:36.001478,vary_both,534730,79.87993791784784,75,53540.69228487406,61.84253258155962,78,90,0.0,0,83.14552307128906,2036,646,False
2026-04-20T11:48:37.138371,vary_both,534730,82.27995771895206,71,54690.54999999808,81.40463901981428,86,90,6.127230893964516,0,83.01620483398438,2036,646,False
2026-04-20T11:48:38.249787,vary_both,534730,94.39768473754279,29,55513.23999999822,69.22496880753138,95,91,12.586357965005705,0,83.01620483398438,2036,646,False
2026-04-20T11:48:39.375799,vary_both,518442,86.73337747634487,42,57121.90899999843,148.68578995944836,86,90,5.310206784266013,0,83.16535949707031,2036,646,False
2026-04-20T11:48:40.519393,vary_both,518442,84.01209814722083,56,57365.99390962864,80.4371152473391,85,91,4.468728624852172,0,83.16535949707031,2036,646,False
2026-04-20T11:48:41.661448,vary_both,518442,93.86594097783261,49,58028.8907328115,63.146178475996486,91,92,5.119960416972688,0,83.14056396484375,2036,646,False
2026-04-20T11:48:42.760409,vary_both,518442,99.03603044088858,25,59043.04199999888,57.24100841996312,100,93,13.628811528562649,0,83.184814453125,2036,646,False
2026-04-20T11:48:43.868864,vary_both,518442,92.57189411044472,48,60181.246000002764,123.12960672942647,100,93,6.291293774496244,0,83.2061767578125,2036,646,False
2026-04-20T11:48:45.027485,vary_both,502154,109.13685151130072,45,60857.272913553345,111.79872593840562,100,91,6.211040329911423,0,83.20503234863281,2036,646,False
2026-04-20T11:48:46.156130,vary_both,502154,79.78202261846434,50,62449.53300000334,86.79582680470295,84,91,4.3836276163991394,0,83.20503234863281,2036,646,False
2026-04-20T11:48:47.311069,vary_both,502154,74.76552977779791,50,63437.89900000103,72.12674637387563,71,92,46.61850680262693,0,83.18939208984375,2036,646,False
2026-04-20T11:48:48.479818,vary_both,502154,88.6584422587294,43,64525.22499999763,107.78085137335731,100,92,6.953603314410149,0,83.19740295410156,2036,646,False
2026-04-20T11:48:49.598194,vary_both,502154,106.11288087246736,47,64525.22499999763,46.58614282205883,99,93,6.0389444398965155,0,83.1298828125,2036,646,False
2026-04-20T11:48:50.758441,vary_both,485866,97.65305325949167,33,65818.38173280668,98.50965898983809,100,94,11.135874494503437,0,83.20999145507812,2036,646,False
